areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2022-05-13,8026,72
K02000001,United Kingdom,overview,2022-05-12,8327,70
K02000001,United Kingdom,overview,2022-05-11,8777,80
K02000001,United Kingdom,overview,2022-05-10,9164,101
K02000001,United Kingdom,overview,2022-05-09,9477,83
K02000001,United Kingdom,overview,2022-05-08,9551,85
K02000001,United Kingdom,overview,2022-05-07,9609,103
K02000001,United Kingdom,overview,2022-05-06,10113,98
K02000001,United Kingdom,overview,2022-05-05,10629,87
K02000001,United Kingdom,overview,2022-05-04,11121,90
K02000001,United Kingdom,overview,2022-05-03,11454,107
K02000001,United Kingdom,overview,2022-05-02,11563,109
K02000001,United Kingdom,overview,2022-05-01,11569,114
K02000001,United Kingdom,overview,2022-04-30,11785,107
K02000001,United Kingdom,overview,2022-04-29,12318,108
K02000001,United Kingdom,overview,2022-04-28,12888,130
K02000001,United Kingdom,overview,2022-04-27,13514,135
K02000001,United Kingdom,overview,2022-04-26,13948,126
K02000001,United Kingdom,overview,2022-04-25,14629,129
K02000001,United Kingdom,overview,2022-04-24,14808,131
K02000001,United Kingdom,overview,2022-04-23,14921,146
K02000001,United Kingdom,overview,2022-04-22,15739,155
K02000001,United Kingdom,overview,2022-04-21,16263,163
K02000001,United Kingdom,overview,2022-04-20,17190,162
K02000001,United Kingdom,overview,2022-04-19,17723,159
K02000001,United Kingdom,overview,2022-04-18,17273,174
K02000001,United Kingdom,overview,2022-04-17,17373,162
K02000001,United Kingdom,overview,2022-04-16,17541,165
K02000001,United Kingdom,overview,2022-04-15,17609,172
K02000001,United Kingdom,overview,2022-04-14,18289,192
K02000001,United Kingdom,overview,2022-04-13,18800,222
K02000001,United Kingdom,overview,2022-04-12,19547,200
K02000001,United Kingdom,overview,2022-04-11,19847,185
K02000001,United Kingdom,overview,2022-04-10,19406,197
K02000001,United Kingdom,overview,2022-04-09,19264,173
K02000001,United Kingdom,overview,2022-04-08,19838,238
K02000001,United Kingdom,overview,2022-04-07,20102,231
K02000001,United Kingdom,overview,2022-04-06,20177,196
K02000001,United Kingdom,overview,2022-04-05,20138,202
K02000001,United Kingdom,overview,2022-04-04,20131,179
K02000001,United Kingdom,overview,2022-04-03,19668,189
K02000001,United Kingdom,overview,2022-04-02,19317,192
K02000001,United Kingdom,overview,2022-04-01,19656,204
K02000001,United Kingdom,overview,2022-03-31,19304,192
K02000001,United Kingdom,overview,2022-03-30,19251,181
